"             ELEM1","             ELEM2","                 X","                 Y","                 Z","              FLOW","            FLOW_G","            FLOW_L","            FLOW_N","     FDIFF_WATER_L","        FDIFF_O2_L","    FDIFF_Toluen_L"
"                  ","                  ","               (M)","               (M)","               (M)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)"
"TIME [sec]  0.10000000E+03"
"               c 4","               d 4",  0.30000000000E+003,  0.50000000000E+000, -0.11250000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               d 4","               e 4",  0.40000000000E+003,  0.50000000000E+000, -0.11250000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               e 4","               f 4",  0.50000000000E+003,  0.50000000000E+000, -0.11250000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               f 4","               g 4",  0.60000000000E+003,  0.50000000000E+000, -0.11250000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               g 4","               h 4",  0.70000000000E+003,  0.50000000000E+000, -0.11250000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               h 4","               i 4",  0.80000000000E+003,  0.50000000000E+000, -0.11250000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               i 4","               j 4",  0.90000000000E+003,  0.50000000000E+000, -0.11250000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000, -0.87438682442E-042
"               a 5","               a 4",  0.50000000000E+002,  0.50000000000E+000, -0.11500000000E+003,  0.44464840450E-004,  0.00000000000E+000,  0.44464840450E-004,  0.00000000000E+000,  0.00000000000E+000, -0.98447204445E-025, -0.11456530919E-033
"               b 5","               b 4",  0.15000000000E+003,  0.50000000000E+000, -0.11500000000E+003,  0.44464840450E-004,  0.00000000000E+000,  0.44464840450E-004,  0.00000000000E+000,  0.00000000000E+000, -0.98447204445E-025, -0.97997777763E-035
"               c 5","               c 4",  0.25000000000E+003,  0.50000000000E+000, -0.11500000000E+003,  0.44464840450E-004,  0.00000000000E+000,  0.44464840450E-004,  0.00000000000E+000,  0.00000000000E+000, -0.98447204445E-025, -0.97997777763E-035
"               d 5","               d 4",  0.35000000000E+003,  0.50000000000E+000, -0.11500000000E+003,  0.44464840450E-004,  0.00000000000E+000,  0.44464840450E-004,  0.00000000000E+000,  0.00000000000E+000, -0.98447204445E-025, -0.97997777763E-035
"               e 5","               e 4",  0.45000000000E+003,  0.50000000000E+000, -0.11500000000E+003,  0.44464840450E-004,  0.00000000000E+000,  0.44464840450E-004,  0.00000000000E+000,  0.00000000000E+000, -0.98447204445E-025, -0.97997777763E-035
